TOTAL_STIMULUS_REC: 423
NLP_parse_percentage_in_AF: 3.78451e-08
Logged_at: 08:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
6671891858108261946, hyp, 21:47:46:055, 21:48:01:067, 76.3144, 15.012, 0,  - , 54.7075
6684140986890114208, $word-inst, 21:47:46:055, 21:48:01:067, 44.1073, 15.012, 1,  - , 16.2384
6707695574689493218, instead, 21:47:46:362, 21:48:01:067, 146.764, 14.7058, 0, 300, 2.75
6735129917495612498, anisoptera, 21:47:46:626, 21:47:47:929, 0.574294, 1.30305, 0, 900, 0.666667
6787456950569763187, $subj1, 21:47:47:006, 21:47:47:006, 0.499984, 0, 1,  - , 2.52912
6809970978681772822, $X, 21:47:46:900, 21:47:46:900, 0.492463, 0, 1,  - , 2.14684
6818317970667748880, $adv, 21:47:46:900, 21:47:47:006, 0.669651, 0.10597, 1,  - , 3.52912
6883809499701607867, $det, 21:47:46:900, 21:47:47:006, 0.273736, 0.10597, 1,  - , 1.19579
6913895523703723370, 4.000000, 21:47:46:055, 21:48:01:067, 112.376, 15.012, 0,  - , 73.2078
6959880666196248913, Wa, 21:47:46:362, 21:47:51:035, 12.5902, 4.67342, 1,  - , 5.58949
6991244871450878062, ,@cb90509e-caa7-44cb-99a5-e41373e3734e, 21:47:47:645, 21:48:01:067, 93.1435, 13.422, 0,  - , 15.3549
7050915379690158784, $poss, 21:47:47:006, 21:47:47:006, 0.273736, 0, 1,  - , 0.862457
7056112071832177424, arthropods[!<S-WORDS>], 21:47:46:451, 21:47:54:991, 22.0329, 8.54035, 0, 1200, 1
7095701391555798809, extend, 21:47:46:362, 21:48:01:067, 160.265, 14.7058, 0, 300, 4
7123176306408857539, prep, 21:47:55:819, 21:48:01:067, 64.4474, 5.24849, 0,  - , 2.66667
7146781681687645430, .v, 21:47:46:055, 21:48:01:067, 97.4469, 15.012, 0,  - , 70.3741
7335574676936209567, them@1cdcf720-9116-4f78-82a3-8783d493ae1c, 21:47:48:033, 21:48:01:067, 582.265, 13.0346, 0,  - , 13.1675
7348417340687219413, 3000[!<YEAR-DATE>], 21:47:46:626, 21:47:47:645, 0.198305, 1.01914, 0, 600, 0
7441257445287364259, Wt, 21:47:46:362, 21:47:51:035, 12.6876, 4.67342, 1,  - , 5.58949
7462185505485688066, sentence@ddc16de1-2252-4727-b41e-de1224337112_parse_0_interpretation_$X, 21:47:46:055, 21:48:01:067, 82.9981, 15.012, 0,  - , 32.6725
7465348786080753449, woodlice, 21:47:46:055, 21:48:01:067, 271.276, 15.012, 0, 900, 9.73931
7606724419874025626, limbs@041a94e8-8c57-428b-9398-a451becdb2c9, 21:47:48:033, 21:48:01:067, 345.045, 13.0346, 0,  - , 11.0009
7650938101099602091, quantity, 21:47:46:362, 21:47:54:032, 13.3378, 7.67006, 1,  - , 16.5727
7651441902789265539, extensor[!<C-NOUN-WORDS>]@db664047-8bf4-4873-9a7c-5b5146cbce8a, 21:47:48:033, 21:48:01:067, 767.74, 13.0346, 0,  - , 8.08421
7679441268798098755, $parse, 21:47:46:055, 21:48:01:067, 82.0464, 15.012, 1,  - , 23.6076
7679564427520132248, Qd, 21:47:46:259, 21:48:01:067, 46.0411, 14.8083, 1,  - , 12.0506
7732134956336681116, ,, 21:47:46:055, 21:48:01:067, 506.141, 15.012, 1, 19200, 38.0393
7760975031468313190, STARTING_ATOM_LTI_RENT, 21:47:46:626, 21:48:01:067, 43.9358, 14.4411, 1,  - , 14.2512
7836388278411499986, instead@e966a75c-e43e-4082-9590-e71fe8811d3a, 21:47:48:033, 21:48:01:067, 215.673, 13.0346, 0,  - , 13.0974
7844381931739773072, their@5f15a74b-a8e0-4cea-ae48-1db4f8c18561, 21:47:48:033, 21:48:01:067, 497.056, 13.0346, 0,  - , 13.3342
7902611558736819122, muscles@5c2b05e7-eddc-4430-a812-71d12522828e, 21:47:48:033, 21:48:01:067, 162.394, 13.0346, 0,  - , 10.4175
7926918817948805472, 7.000000, 21:47:46:055, 21:48:01:067, 123.215, 15.012, 0,  - , 84.3762
